article_idx,article_id,url,title,in_training,dominant_prob_seed42,companion_stability
65,politics/2023/oct/07/labour-vows-to-double-number-of-scanners-in-hospitals-in-england,https://www.theguardian.com/politics/2023/oct/07/labour-vows-to-double-number-of-scanners-in-hospitals-in-england,Labour vows to double number of scanners in hospitals in England,yes,0.5273,0.3754
66,society/article/2024/sep/09/marias-niece-sought-a-dvo-her-ex-partner-bought-an-axe-ntwnfb,https://www.theguardian.com/society/article/2024/sep/09/marias-niece-sought-a-dvo-her-ex-partner-bought-an-axe-ntwnfb,Maria’s niece sought a DVO to protect her. Her ex-partner went out and bought an axe,yes,0.9742,0.4491
67,us-news/2024/oct/02/middle-east-hurricane-helene-dockworker-strikes-kamala-harris,https://www.theguardian.com/us-news/2024/oct/02/middle-east-hurricane-helene-dockworker-strikes-kamala-harris,"Harris faces triple trouble, even before October’s inevitable surprises",yes,0.6417,0.2801
68,politics/article/2024/jun/04/election-edition-itv-leaders-debate-sunak-starmer,https://www.theguardian.com/politics/article/2024/jun/04/election-edition-itv-leaders-debate-sunak-starmer,"Campaign catchup: Debate looming, Farage soaking, Whitby Woman rebelling",yes,0.6283,0.3466
69,world/2023/sep/24/political-outsider-stefanos-kasselakis-wins-race-to-lead-greeces-syriza,https://www.theguardian.com/world/2023/sep/24/political-outsider-stefanos-kasselakis-wins-race-to-lead-greeces-syriza,Political outsider Stefanos Kasselakis wins race to lead Greece’s Syriza,yes,0.4098,0.2119
70,us-news/2025/jul/26/elon-musk-tesla-diner-hollywood,https://www.theguardian.com/us-news/2025/jul/26/elon-musk-tesla-diner-hollywood,Elon Musk opened a diner in Hollywood. What could go wrong? I went to find out,yes,0.3182,0.0929
71,business/2023/jun/27/mobile-and-broadband-firms-accused-of-fuelling-uk-greedflation-with-major-price-hikes,https://www.theguardian.com/business/2023/jun/27/mobile-and-broadband-firms-accused-of-fuelling-uk-greedflation-with-major-price-hikes,Mobile and broadband firms accused of fuelling UK ‘greedflation’ with major price hikes,yes,0.8383,0.3906
72,us-news/2024/oct/08/shasta-county-elections-redding-far-right-voting-covid,https://www.theguardian.com/us-news/2024/oct/08/shasta-county-elections-redding-far-right-voting-covid,Extremist politics divided this conservative California community. What will it take to turn the tide?,yes,0.669,0.3175
73,world/2025/jan/08/wednesday-briefing-what-elon-musks-focus-on-grooming-gangs-reveals-about-alt-right-online-discourse,https://www.theguardian.com/world/2025/jan/08/wednesday-briefing-what-elon-musks-focus-on-grooming-gangs-reveals-about-alt-right-online-discourse,Wednesday briefing: What Elon Musk’s focus on grooming gangs reveals about alt-right online discourse,yes,0.3511,0.248
74,society/2024/nov/28/im-emotionally-ruined-mps-left-bitterly-divided-over-assisted-dying-bill,https://www.theguardian.com/society/2024/nov/28/im-emotionally-ruined-mps-left-bitterly-divided-over-assisted-dying-bill,"‘I’m emotionally ruined’: MPs bitterly divided over assisted dying, with Starmer appalled by ministers’ comments",yes,0.618,0.2686
